name;model_type;AUROC;train_time;target;Fingerprint type;poses;interactions;cvtype;preprocessing;postprocessing
IBk (k=5);;0.8990957777777778;;TPP;FULL;3 top poses;Basic+extended;3cv;None;None
K*;;0.9390354444444444;;TPP;FULL;3 top poses;Basic+extended;3cv;None;None
Decision Table;;0.5;;TPP;FULL;3 top poses;Basic+extended;3cv;None;None
J48;;0.6964195555555556;;TPP;FULL;3 top poses;Basic+extended;3cv;None;None
Random Tree;;0.5628409999999999;;TPP;FULL;3 top poses;Basic+extended;3cv;None;None
Naive Bayes;;0.5;;Adenine;FULL;3 top poses;Basic+extended;3cv;None;None
Logistic Regression;;0.9832287777777778;;Adenine;FULL;3 top poses;Basic+extended;3cv;None;None
IBk (k=3);;0.9909991111111112;;Adenine;FULL;3 top poses;Basic+extended;3cv;None;None
IBk (k=5);;0.991380888888889;;Adenine;FULL;3 top poses;Basic+extended;3cv;None;None
K*;;0.9907636666666666;;Adenine;FULL;3 top poses;Basic+extended;3cv;None;None
Decision Table;;0.5;;Adenine;FULL;3 top poses;Basic+extended;3cv;None;None
J48;;0.8036456666666667;;Adenine;FULL;3 top poses;Basic+extended;3cv;None;None
Random Tree;;0.6328972222222222;;Adenine;FULL;3 top poses;Basic+extended;3cv;None;None
Naive Bayes;;0.5;;Guanine;FULL;3 top poses;Basic+extended;3cv;None;None
Logistic Regression;;0.8853653333333333;;Guanine;FULL;3 top poses;Basic+extended;3cv;None;None
IBk (k=3);;0.9192341111111112;;Guanine;FULL;3 top poses;Basic+extended;3cv;None;None
IBk (k=5);;0.924645;;Guanine;FULL;3 top poses;Basic+extended;3cv;None;None
K*;;0.924097222222222;;Guanine;FULL;3 top poses;Basic+extended;3cv;None;None
Decision Table;;0.5;;Guanine;FULL;3 top poses;Basic+extended;3cv;None;None
J48;;0.6121301111111112;;Guanine;FULL;3 top poses;Basic+extended;3cv;None;None
Random Tree;;0.6770417777777777;;Guanine;FULL;3 top poses;Basic+extended;3cv;None;None
Naive Bayes;;0.5;;GuanineC74U;FULL;3 top poses;Basic+extended;3cv;None;None
Logistic Regression;;0.9832162222222222;;GuanineC74U;FULL;3 top poses;Basic+extended;3cv;None;None
IBk (k=3);;0.9921822222222222;;GuanineC74U;FULL;3 top poses;Basic+extended;3cv;None;None
IBk (k=5);;0.9925222222222222;;GuanineC74U;FULL;3 top poses;Basic+extended;3cv;None;None
K*;;0.971929222222222;;GuanineC74U;FULL;3 top poses;Basic+extended;3cv;None;None
Decision Table;;0.5;;GuanineC74U;FULL;3 top poses;Basic+extended;3cv;None;None
J48;;0.829946111111111;;GuanineC74U;FULL;3 top poses;Basic+extended;3cv;None;None
Random Tree;;0.8072901111111112;;GuanineC74U;FULL;3 top poses;Basic+extended;3cv;None;None
Deep Learning;;0.9273777777777776;;FMN;FULL;3 top poses;Basic+extended;3cv;None;None
Deep Learning;;0.992876929165018;;Adenine;FULL;3 top poses;Basic+extended;3cv;None;None
Deep Learning;;0.981699779249448;;Guanine;FULL;3 top poses;Basic+extended;3cv;None;None
Deep Learning;;0.9969861362266426;;GuanineC74U;FULL;3 top poses;Basic+extended;3cv;None;None
Deep Learning;;0.8095850248082995;;HIV-1 TAR;FULL;3 top poses;Basic+extended;3cv;None;None
Deep Learning;;0.9108830022075056;;TPP;FULL;3 top poses;Basic+extended;3cv;None;None
SVM + Optuna;;0.99725;;Adenine;;;;;;
SVM + Optuna;;0.98667;;FMN;;;;;;
SVM + Optuna;;0.99067;;Guanine;;;;;;
SVM + Optuna;;0.99634;;GuanineC74U;;;;;;
SVM + Optuna;;0.78553;;HIV-1 TAR;;;;;;
SVM + Optuna;;0.95417;;TPP;;;;;;
