score,method,desc,type
0.8997967479674797,CatBoost,2L8H,one
0.9058823529411765,CatBoost,2L8H,one
0.7440162271805273,CatBoost,2L8H,one
0.6983739837398374,CatBoost,2L8H,one
0.7501014198782961,CatBoost,2L8H,one
0.8326572008113591,CatBoost,2L8H,one
0.7632113821138211,CatBoost,2L8H,one
0.8896551724137931,CatBoost,2L8H,one
0.8468559837728195,CatBoost,2L8H,one
0.6613821138211382,CatBoost,2L8H,one
0.7849898580121705,CatBoost,2L8H,one
0.7858012170385396,CatBoost,2L8H,one
0.8022357723577236,CatBoost,2L8H,one
0.6231237322515213,CatBoost,2L8H,one
0.7880324543610548,CatBoost,2L8H,one
0.7359756097560975,CatBoost,2L8H,one
0.9602434077079107,CatBoost,2L8H,one
0.7933062880324544,CatBoost,2L8H,one
0.7989837398373985,CatBoost,2L8H,one
0.712576064908722,CatBoost,2L8H,one
0.6711967545638945,CatBoost,2L8H,one
0.833130081300813,CatBoost,2L8H,one
0.7578093306288033,CatBoost,2L8H,one
0.781947261663286,CatBoost,2L8H,one
0.7634146341463415,CatBoost,2L8H,one
0.6691683569979715,kNN,2L8H,one
0.6753549695740364,kNN,2L8H,one
0.7757113821138212,kNN,2L8H,one
0.8278904665314402,kNN,2L8H,one
0.6114604462474645,kNN,2L8H,one
0.6826219512195122,kNN,2L8H,one
0.7787018255578093,kNN,2L8H,one
0.6731237322515213,kNN,2L8H,one
0.6729674796747966,kNN,2L8H,one
0.6671399594320486,kNN,2L8H,one
0.6749492900608519,kNN,2L8H,one
0.6300813008130082,kNN,2L8H,one
0.8234279918864097,kNN,2L8H,one
0.6826572008113589,kNN,2L8H,one
0.661890243902439,kNN,2L8H,one
0.682048681541582,kNN,2L8H,one
0.7191683569979717,kNN,2L8H,one
0.733739837398374,kNN,2L8H,one
0.672920892494929,kNN,2L8H,one
0.585395537525355,kNN,2L8H,one
0.8204268292682926,kNN,2L8H,one
0.5774847870182556,kNN,2L8H,one
0.7736308316430021,kNN,2L8H,one
0.6798780487804879,kNN,2L8H,one
0.6277890466531441,kNN,2L8H,one
0.6170385395537525,kNN,2L8H,one
0.6783536585365854,kNN,2L8H,one
0.6224137931034482,kNN,2L8H,one
0.7234279918864098,kNN,2L8H,one
0.7725609756097561,kNN,2L8H,one
0.8656186612576066,Random Forest,2L8H,one
0.8579107505070994,Random Forest,2L8H,one
